Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8874214728354014,0.8140992222986367,0.0031,0.0031,0.07332225053676467,True,True,False
Demographic_0.7,0.8883833796998534,0.7972381045600555,0.0004,0.0005333333333333334,0.09114527513979787,True,True,True
Demographic_0.8,0.8763586891721582,0.7167032982725119,0.0,0.0,0.1596553908996463,True,True,True
Demographic_0.9,0.8741349543438677,0.5748558704721024,0.0,0.0,0.2992790838717653,True,True,True
