Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9077566893738106,0.8159008937825664,0.0017,0.0017,0.09185579559124424,True,True,False
Demographic_0.7,0.9062891372857012,0.8017948947546062,0.0002,0.0002666666666666667,0.10449424253109496,True,True,True
Demographic_0.8,0.8981570585703016,0.6759195818733235,0.0,0.0,0.22223747669697813,True,True,True
Demographic_0.9,0.8964273988195333,0.4672311255161052,0.0,0.0,0.4291962733034281,True,True,True
