Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9045763820487615,0.8230977852366844,0.0039,0.0039,0.08147859681207703,True,True,False
Demographic_0.7,0.9044314740637558,0.8075641148698434,0.0008,0.0010666666666666667,0.09686735919391243,True,True,False
Demographic_0.8,0.8979778498944437,0.6852576273812883,0.0,0.0,0.21272022251315548,True,True,True
Demographic_0.9,0.8957954352171157,0.49022039404645346,0.0,0.0,0.40557504117066223,True,True,True
