Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9179224351853612,0.8124155136780019,0.0002,0.0002,0.1055069215073593,True,True,True
Demographic_0.7,0.915267612980998,0.7976737180275724,0.0001,0.00013333333333333334,0.11759389495342565,True,True,True
Demographic_0.8,0.9026018491252397,0.6775855049861058,0.0,0.0,0.22501634413913385,True,True,True
Demographic_0.9,0.9007283049690084,0.4727726578004672,0.0,0.0,0.4279556471685412,True,True,True
