Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9170037670182261,0.8138516317786657,0.0003,0.0003,0.10315213523956035,True,True,True
Demographic_0.7,0.9143535911672884,0.7996000100353874,0.0002,0.0002666666666666667,0.11475358113190104,True,True,True
Demographic_0.8,0.9032363957608869,0.6762821665090015,0.0,0.0,0.22695422925188535,True,True,True
Demographic_0.9,0.9013322842936263,0.47003284866865747,0.0,0.0,0.43129943562496886,True,True,True
