Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9141228170125801,0.8164387095817928,0.0008,0.0008,0.09768410743078737,True,True,True
Demographic_0.7,0.911845446093536,0.8029184016008468,0.0002,0.0002666666666666667,0.1089270444926892,True,True,True
Demographic_0.8,0.9018960668269919,0.6791439165722319,0.0,0.0,0.22275215025475992,True,True,True
Demographic_0.9,0.8999489590999762,0.4739246916895543,0.0,0.0,0.4260242674104219,True,True,True
