Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8889006688139367,0.7762827882589723,0.001,0.001,0.11261788055496436,True,True,False
Demographic_0.7,0.8864166382128276,0.7589069203693093,0.0001,0.00013333333333333334,0.12750971784351828,True,True,True
Demographic_0.8,0.881361178109584,0.6009434072830536,0.0,0.0,0.2804177708265304,True,True,True
Demographic_0.9,0.8798870459313202,0.36486165056664804,0.0,0.0,0.5150253953646722,True,True,True
