Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9041371951632278,0.8238048368556543,0.0045,0.0045,0.08033235830757346,True,True,False
Demographic_0.7,0.9039745075763176,0.8084907801913533,0.0007,0.0009333333333333333,0.09548372738496425,True,True,True
Demographic_0.8,0.8977990742511,0.6863127381216241,0.0,0.0,0.21148633612947587,True,True,True
Demographic_0.9,0.8956243086512267,0.49194269233075427,0.0,0.0,0.4036816163204724,True,True,True
