Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9129065600766301,0.8189229749956894,0.0007,0.0007,0.09398358508094062,True,True,True
Demographic_0.7,0.9115034304733108,0.80447486171304,0.0002,0.0002666666666666667,0.10702856876027089,True,True,True
Demographic_0.8,0.9015570485009723,0.6824182772913843,0.0,0.0,0.21913877120958802,True,True,True
Demographic_0.9,0.8996828935061499,0.47859293758332017,0.0,0.0,0.4210899559228298,True,True,True
