Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9046120694612688,0.8219763473481831,0.0042,0.0042,0.08263572211308567,True,True,False
Demographic_0.7,0.9045032872978525,0.8063142767694913,0.0007,0.0009333333333333333,0.09818901052836115,True,True,True
Demographic_0.8,0.8976566157807103,0.6839361590537597,0.0,0.0,0.21372045672695061,True,True,True
Demographic_0.9,0.8955993682779203,0.48570884907921036,0.0,0.0,0.40989051919870995,True,True,True
