Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8421470133709652,0.7913496179139747,0.0735,0.0735,0.05079739545699047,False,False,False
Demographic_0.7,0.8437110559934149,0.7748544943044676,0.0175,0.023333333333333334,0.06885656168894727,True,False,False
Demographic_0.8,0.8427227525005848,0.6953466674145066,0.0002,0.0004,0.14737608508607825,True,True,True
Demographic_0.9,0.8487963901386698,0.481138542407271,0.0,0.0,0.3676578477313988,True,True,True
