Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.7014416630530457,0.6350273505832359,0.0417,0.055600000000000004,0.06641431246980978,False,False,False
Demographic_0.7,0.6802888695154025,0.621659623771583,0.0696,0.0696,0.05862924574381945,False,False,False
Demographic_0.8,0.6860297407051991,0.5476123684448643,0.0,0.0,0.1384173722603348,True,True,True
Demographic_0.9,0.6873029459138648,0.4159259584622925,0.0,0.0,0.27137698745157224,True,True,True
