Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
AGE17_0.6,0.88926944148921,0.8034244704520649,0.0039,0.009692307692307691,0.08584497103714517,True,True,False
AGE17_0.7,0.8493581293506729,0.9525198945847325,0.0046,0.009857142857142856,0.10316176523405962,True,True,False
AGE17_0.8,0.8687319907767439,0.8466556376164239,0.5689,0.68268,0.022076353160319973,False,False,False
AGE17_0.9,0.8686872307049027,0.8698638812458377,0.9814,0.9814,0.0011766505409349648,False,False,False
AGE65_0.6,0.896947459051764,0.8156080049925182,0.0042,0.009692307692307691,0.08133945405924581,True,True,False
AGE65_0.7,0.897986149772983,0.8090681363344198,0.0046,0.009857142857142856,0.0889180134385632,True,True,False
AGE65_0.8,0.8958422987774527,0.7999499967429918,0.0058,0.011999999999999999,0.09589230203446086,True,False,False
AGE65_0.9,0.8507910071508996,0.9660698504468104,0.0292,0.04866666666666667,0.11527884329591076,True,False,False
CROWD_0.6,0.8725488478616295,0.8363661759824796,0.3137,0.4377209302325581,0.03618267187914981,False,False,False
CROWD_0.7,0.8698729716024071,0.8006868516673287,0.1505,0.23153846153846153,0.0691861199350784,False,False,False
CROWD_0.8,0.8703137758201975,0.8059712017226789,0.259,0.37902439024390244,0.06434257409751865,False,False,False
CROWD_0.9,0.8689396265784632,0.8904977145511623,0.8625,0.9241071428571429,0.02155808797269909,False,False,False
DISABL_0.6,0.9073015123267516,0.8132255439651834,0.0009,0.002842105263157895,0.09407596836156817,True,True,False
DISABL_0.7,0.9088191682524049,0.6961447136907812,0.0,0.0,0.2126744545616237,True,True,True
DISABL_0.8,0.9035446984924387,0.3310402575489514,0.0,0.0,0.5725044409434873,True,True,True
DISABL_0.9,0.9043544954403262,0.04801908902292717,0.0,0.0,0.856335406417399,True,True,True
GROUPQ_0.6,0.843199799705326,0.8887004030632151,0.0901,0.1461081081081081,0.04550060335788908,False,False,False
GROUPQ_0.7,0.8465214902194356,0.934399276182405,0.0019,0.005428571428571429,0.08787778596296947,True,True,False
GROUPQ_0.8,0.8522847799858739,0.9475800178025279,0.0038,0.009692307692307691,0.09529523781665394,True,True,False
GROUPQ_0.9,0.8537897113536623,0.9469187531529462,0.0063,0.012193548387096773,0.09312904179928383,True,False,False
LIMENG_0.6,0.7625296825697062,0.9474250750894349,0.0,0.0,0.18489539251972864,True,True,True
LIMENG_0.7,0.7690905705769921,0.9498229707590797,0.0,0.0,0.18073240018208758,True,True,True
LIMENG_0.8,0.8289735966605061,0.9406715494911274,0.0032,0.008727272727272728,0.11169795283062134,True,True,False
LIMENG_0.9,0.8628259757681537,0.910002770831345,0.3411,0.4651363636363637,0.04717679506319128,False,False,False
MINRTY_0.6,0.9219591967349083,0.8132262299497479,0.0002,0.0007058823529411765,0.10873296678516042,True,True,True
MINRTY_0.7,0.9190470586107717,0.7979729279629303,0.0,0.0,0.12107413064784145,True,True,True
MINRTY_0.8,0.905054671195604,0.6831660649253688,0.0,0.0,0.2218886062702352,True,True,True
MINRTY_0.9,0.9037776636381516,0.4761814770375806,0.0,0.0,0.42759618660057097,True,True,True
MOBILE_0.6,0.8694827507110884,0.7588493979895632,0.0042,0.009692307692307691,0.11063335272152519,True,True,False
MOBILE_0.7,0.8713663803854629,0.7447528748355584,0.0129,0.023454545454545454,0.12661350554990447,True,False,False
MOBILE_0.8,0.8721218090479412,0.7276050438096364,0.0232,0.03977142857142857,0.1445167652383048,True,False,False
MOBILE_0.9,0.8733556719136254,0.5155307682830089,0.006,0.012,0.3578249036306165,True,False,False
MUNIT_0.6,0.7599679692757517,0.9021514727722608,0.0,0.0,0.1421835034965091,True,True,True
MUNIT_0.7,0.8457677543181363,0.8818635968695456,0.1735,0.26025,0.036095842551409296,False,False,False
MUNIT_0.8,0.8592505236117862,0.876617598597099,0.52,0.6407755102040816,0.017367074985312758,False,False,False
MUNIT_0.9,0.8467054151054114,0.9343815929813697,0.0119,0.022312500000000002,0.08767617787595827,True,False,False
NOHSDP_0.6,0.8696977363326083,0.8674459181463957,0.9431,0.9756206896551725,0.002251818186212562,False,False,False
NOHSDP_0.7,0.8703870981798246,0.8626139314312609,0.8157,0.8898545454545455,0.0077731667485637645,False,False,False
NOHSDP_0.8,0.8677686310474072,0.8834546136176533,0.7428,0.8253333333333334,0.015685982570246115,False,False,False
NOHSDP_0.9,0.8662047892421607,0.9035409025527162,0.4752,0.6066382978723405,0.03733611331055553,False,False,False
NOVEH_0.6,0.9016753494335037,0.836344144148146,0.0148,0.02611764705882353,0.06533120528535774,True,False,False
NOVEH_0.7,0.8999366561431731,0.809137856826734,0.0019,0.005428571428571429,0.09079879931643908,True,True,False
NOVEH_0.8,0.9096152500843943,0.7178483179138828,0.0,0.0,0.19176693217051144,True,True,True
