Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.904164988576355,0.8113796356496981,0.0001,0.00013333333333333334,0.0927853529266569,True,True,True
Demographic_0.7,0.8974755488870013,0.8057031059154631,0.0005,0.0005,0.09177244297153819,True,True,True
Demographic_0.8,0.8840364086629585,0.7293944494539267,0.0,0.0,0.1546419592090318,True,True,True
Demographic_0.9,0.8850209979805818,0.5482143934920283,0.0,0.0,0.3368066044885535,True,True,True
