Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9086642469641263,0.8218573240004454,0.0019,0.0019,0.08680692296368087,True,True,False
Demographic_0.7,0.9074621286454004,0.8076693082993442,0.0004,0.0005333333333333334,0.09979282034605619,True,True,True
Demographic_0.8,0.9005095395730593,0.6841451464724256,0.0,0.0,0.2163643931006337,True,True,True
Demographic_0.9,0.8985095895606243,0.48356746261959044,0.0,0.0,0.4149421269410339,True,True,True
