Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9080057638503664,0.8192638481248029,0.0016,0.0016,0.08874191572556345,True,True,False
Demographic_0.7,0.9065595046302142,0.8053918417186491,0.0003,0.00039999999999999996,0.10116766291156509,True,True,True
Demographic_0.8,0.8985872653955645,0.6839732140327738,0.0,0.0,0.21461405136279077,True,True,True
Demographic_0.9,0.896899699819674,0.4819737429171345,0.0,0.0,0.4149259569025395,True,True,True
