Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9214576887081882,0.8248057959570378,0.0003,0.0003,0.09665189275115038,True,True,True
Demographic_0.7,0.9193821877134509,0.8099512937533696,0.0001,0.00013333333333333334,0.10943089396008132,True,True,True
Demographic_0.8,0.9079376908718847,0.6958772176100368,0.0,0.0,0.21206047326184785,True,True,True
Demographic_0.9,0.9056074266760533,0.5053748256189422,0.0,0.0,0.4002326010571111,True,True,True
