Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9067660941260733,0.8217556914876962,0.0037,0.0037,0.08501040263837711,True,True,False
Demographic_0.7,0.9063365747517209,0.8062680519492881,0.0001,0.00013333333333333334,0.10006852280243284,True,True,True
Demographic_0.8,0.8992837570276913,0.68073736788068,0.0,0.0,0.2185463891470113,True,True,True
Demographic_0.9,0.8966746292056966,0.48580408758121946,0.0,0.0,0.41087054162447717,True,True,True
