STN_NUMBER,LONGITUDE,LATITUDE,FC,LANE,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
16,-85.206855,35.260076,6,0,5326.0,454.0,2855.0,156.0,2442.0,217.0,676.0,269.0,42.0,39.0,26230.0,3578.0,431.0,152.0,1094.0,164.0,1097.0,265.0,1097.0,296.0,217.0,124.0,186.0,620.0,19.0,68.0,16.0,29.0,575.0,198.0,47.0,43.0,141.0,111.0,0.0,17.0,12.9,5.2,1.7,1.6,26230.0,3578.0,10.9,3.8,20.5,3.4,20.6,4.7,20.6,5.4,8.9,5.0,3.5,11.6,0.4,1.4,0.6,1.0,20.1,6.8,1.9,1.8,5.8,4.3,0.0,0.3,0.4072,0.0615,0.4186,0.381,1.2683,0.2668,0.766,0.3857,0.7654,0.5786,2.4957,0.812,0.1038,0.4774,0.5812,0.2994,0.3479,0.8089,0.5786,0.6203,0.0,2.3557,0.5247,6.7009,0.4158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,181.0,9.2,3.4,5012.0
17,-85.199723,35.248517,6,0,5326.0,454.0,2855.0,156.0,2442.0,217.0,676.0,269.0,42.0,39.0,26230.0,3578.0,431.0,152.0,1094.0,164.0,1097.0,265.0,1097.0,296.0,217.0,124.0,186.0,620.0,19.0,68.0,16.0,29.0,575.0,198.0,47.0,43.0,141.0,111.0,0.0,17.0,12.9,5.2,1.7,1.6,26230.0,3578.0,10.9,3.8,20.5,3.4,20.6,4.7,20.6,5.4,8.9,5.0,3.5,11.6,0.4,1.4,0.6,1.0,20.1,6.8,1.9,1.8,5.8,4.3,0.0,0.3,0.4072,0.0615,0.4186,0.381,1.2683,0.2668,0.766,0.3857,0.7654,0.5786,2.4957,0.812,0.1038,0.4774,0.5812,0.2994,0.3479,0.8089,0.5786,0.6203,0.0,2.3557,0.5247,6.7009,0.4158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,181.0,9.2,3.4,5012.0
19,-85.146596,35.263399,4,0,4062.0,348.0,1655.0,99.0,1655.0,99.0,552.0,197.0,103.0,75.0,27476.0,3247.0,404.0,136.0,803.0,210.0,787.0,199.0,821.0,191.0,98.0,70.0,188.0,490.0,31.0,60.0,100.0,63.0,298.0,97.0,33.0,41.0,36.0,28.0,136.0,117.0,14.1,5.1,5.3,4.0,27476.0,3247.0,13.6,4.3,19.8,5.0,19.4,4.6,21.0,5.0,5.9,4.2,4.6,12.1,0.8,1.6,6.0,3.8,18.0,5.5,2.0,2.5,2.2,1.7,3.3,2.9,0.4553,0.4618,0.3673,0.4875,1.7719,0.4229,0.7229,0.2839,0.7776,0.3385,2.1229,0.5605,0.1504,0.6278,0.7782,0.4012,0.6581,0.7656,0.5974,0.2556,0.8463,3.123,0.8271,7.796,0.6039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,160.0,9.5,4.0,3711.0
20,-85.138629,35.274597,3,0,3253.0,234.0,1396.0,51.0,1296.0,69.0,140.0,75.0,151.0,134.0,36971.0,4307.0,304.0,122.0,685.0,98.0,570.0,132.0,479.0,143.0,57.0,38.0,272.0,355.0,9.0,49.0,0.0,17.0,190.0,78.0,0.0,17.0,18.0,21.0,0.0,12.0,4.3,2.3,8.4,7.3,36971.0,4307.0,11.8,4.7,21.1,3.2,17.5,3.9,14.8,4.4,4.4,3.0,8.4,10.9,0.3,1.6,0.0,1.2,13.6,5.5,0.0,1.3,1.4,1.7,0.0,0.4,0.0901,0.7437,0.1506,0.4187,1.4031,0.3082,0.7964,0.1666,0.4151,0.205,1.5831,0.2218,0.3028,0.4255,0.7283,0.3736,0.0,0.6958,0.0,0.1478,0.0,0.8436,0.0549,4.5581,0.1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,92.0,4.7,2.8,971.0
21,-85.024249,35.229388,6,0,4021.0,352.0,1723.0,61.0,1499.0,101.0,369.0,173.0,73.0,50.0,29352.0,3690.0,496.0,135.0,754.0,96.0,767.0,191.0,715.0,174.0,140.0,71.0,337.0,479.0,8.0,48.0,9.0,19.0,324.0,100.0,17.0,20.0,23.0,22.0,59.0,25.0,9.3,4.2,3.9,2.5,29352.0,3690.0,16.4,4.2,18.8,2.7,19.1,4.4,18.0,4.2,9.3,4.7,8.4,11.9,0.2,1.2,0.5,1.1,18.8,5.7,1.1,1.4,1.5,1.4,1.5,0.6,0.2554,0.3212,0.3065,0.6244,1.5075,0.3435,0.6561,0.261,0.6173,0.6049,2.1393,0.5761,0.3028,0.3749,0.6777,0.3425,0.3277,0.7832,0.4289,0.1607,0.7438,2.4443,0.5661,6.7688,0.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,164.0,8.7,4.0,1214.0
23,-85.067986,35.190177,5,0,4164.0,396.0,1543.0,29.0,1388.0,87.0,176.0,135.0,97.0,56.0,29560.0,5782.0,243.0,107.0,734.0,106.0,1074.0,239.0,505.0,200.0,77.0,62.0,120.0,559.0,0.0,48.0,0.0,17.0,107.0,80.0,23.0,25.0,0.0,12.0,69.0,22.0,4.3,3.2,4.6,2.6,29560.0,5782.0,8.6,3.7,17.6,3.0,25.8,5.2,12.3,4.7,5.5,4.5,2.9,13.4,0.0,1.2,0.0,1.1,6.9,5.2,1.7,1.9,0.0,2.5,1.7,0.5,0.0901,0.3915,0.3005,0.2771,1.0592,0.2037,0.5786,0.7782,0.2677,0.298,1.9225,0.4158,0.0789,0.0,0.0789,0.0587,0.0,0.5617,0.5448,0.0,0.7586,1.8651,0.3119,4.9257,0.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,71.0,2.5,1.7,1245.0
24,-85.056914,35.182349,5,0,5786.0,620.0,2386.0,115.0,2149.0,163.0,725.0,520.0,143.0,110.0,32459.0,4409.0,538.0,231.0,903.0,107.0,1261.0,333.0,866.0,299.0,58.0,59.0,586.0,832.0,83.0,125.0,31.0,44.0,149.0,108.0,12.0,37.0,46.0,42.0,17.0,8.0,12.5,8.5,4.6,3.4,32459.0,4409.0,12.8,4.9,15.6,2.3,21.8,5.3,15.0,4.8,2.7,2.8,10.1,14.4,1.5,2.2,1.3,1.9,6.2,4.6,0.6,1.7,2.1,1.9,0.3,0.1,0.3916,0.3915,0.2255,0.4531,1.4617,0.3279,0.4376,0.4767,0.4226,0.0762,1.4131,0.1501,0.3729,0.7397,1.1126,0.6129,0.4235,0.5434,0.2886,0.2441,0.5866,2.0862,0.4176,6.0736,0.3118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,224.0,8.3,3.8,2320.0
25,-85.054818,35.172784,5,0,5786.0,620.0,2386.0,115.0,2149.0,163.0,725.0,520.0,143.0,110.0,32459.0,4409.0,538.0,231.0,903.0,107.0,1261.0,333.0,866.0,299.0,58.0,59.0,586.0,832.0,83.0,125.0,31.0,44.0,149.0,108.0,12.0,37.0,46.0,42.0,17.0,8.0,12.5,8.5,4.6,3.4,32459.0,4409.0,12.8,4.9,15.6,2.3,21.8,5.3,15.0,4.8,2.7,2.8,10.1,14.4,1.5,2.2,1.3,1.9,6.2,4.6,0.6,1.7,2.1,1.9,0.3,0.1,0.3916,0.3915,0.2255,0.4531,1.4617,0.3279,0.4376,0.4767,0.4226,0.0762,1.4131,0.1501,0.3729,0.7397,1.1126,0.6129,0.4235,0.5434,0.2886,0.2441,0.5866,2.0862,0.4176,6.0736,0.3118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,224.0,8.3,3.8,2320.0
26,-85.030656,35.168709,4,0,12146.0,796.0,4936.0,174.0,4432.0,287.0,712.0,400.0,296.0,166.0,41644.0,5262.0,670.0,257.0,1968.0,369.0,2983.0,412.0,1018.0,345.0,152.0,88.0,2245.0,1115.0,303.0,289.0,319.0,162.0,46.0,54.0,13.0,29.0,128.0,143.0,22.0,18.0,5.9,3.3,5.0,2.7,41644.0,5262.0,7.8,2.9,16.2,3.0,24.6,3.0,8.4,2.8,3.4,2.0,18.5,9.1,2.7,2.5,6.5,3.3,0.9,1.1,0.3,0.7,2.9,3.2,0.2,0.1,0.1335,0.4388,0.1006,0.2454,0.9183,0.1724,0.4801,0.7121,0.1102,0.12,1.4224,0.1521,0.5617,0.8449,1.4066,0.7606,0.6851,0.3076,0.2239,0.3336,0.5536,2.1038,0.4271,5.8511,0.2772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,371.0,7.4,2.9,9849.0
27,-85.020154,35.172282,5,0,4164.0,396.0,1543.0,29.0,1388.0,87.0,176.0,135.0,97.0,56.0,29560.0,5782.0,243.0,107.0,734.0,106.0,1074.0,239.0,505.0,200.0,77.0,62.0,120.0,559.0,0.0,48.0,0.0,17.0,107.0,80.0,23.0,25.0,0.0,12.0,69.0,22.0,4.3,3.2,4.6,2.6,29560.0,5782.0,8.6,3.7,17.6,3.0,25.8,5.2,12.3,4.7,5.5,4.5,2.9,13.4,0.0,1.2,0.0,1.1,6.9,5.2,1.7,1.9,0.0,2.5,1.7,0.5,0.0901,0.3915,0.3005,0.2771,1.0592,0.2037,0.5786,0.7782,0.2677,0.298,1.9225,0.4158,0.0789,0.0,0.0789,0.0587,0.0,0.5617,0.5448,0.0,0.7586,1.8651,0.3119,4.9257,0.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,71.0,2.5,1.7,1245.0
28,-85.090662,35.161468,3,0,5786.0,620.0,2386.0,115.0,2149.0,163.0,725.0,520.0,143.0,110.0,32459.0,4409.0,538.0,231.0,903.0,107.0,1261.0,333.0,866.0,299.0,58.0,59.0,586.0,832.0,83.0,125.0,31.0,44.0,149.0,108.0,12.0,37.0,46.0,42.0,17.0,8.0,12.5,8.5,4.6,3.4,32459.0,4409.0,12.8,4.9,15.6,2.3,21.8,5.3,15.0,4.8,2.7,2.8,10.1,14.4,1.5,2.2,1.3,1.9,6.2,4.6,0.6,1.7,2.1,1.9,0.3,0.1,0.3916,0.3915,0.2255,0.4531,1.4617,0.3279,0.4376,0.4767,0.4226,0.0762,1.4131,0.1501,0.3729,0.7397,1.1126,0.6129,0.4235,0.5434,0.2886,0.2441,0.5866,2.0862,0.4176,6.0736,0.3118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,224.0,8.3,3.8,2320.0
29,-85.106813,35.158524,5,0,5786.0,620.0,2386.0,115.0,2149.0,163.0,725.0,520.0,143.0,110.0,32459.0,4409.0,538.0,231.0,903.0,107.0,1261.0,333.0,866.0,299.0,58.0,59.0,586.0,832.0,83.0,125.0,31.0,44.0,149.0,108.0,12.0,37.0,46.0,42.0,17.0,8.0,12.5,8.5,4.6,3.4,32459.0,4409.0,12.8,4.9,15.6,2.3,21.8,5.3,15.0,4.8,2.7,2.8,10.1,14.4,1.5,2.2,1.3,1.9,6.2,4.6,0.6,1.7,2.1,1.9,0.3,0.1,0.3916,0.3915,0.2255,0.4531,1.4617,0.3279,0.4376,0.4767,0.4226,0.0762,1.4131,0.1501,0.3729,0.7397,1.1126,0.6129,0.4235,0.5434,0.2886,0.2441,0.5866,2.0862,0.4176,6.0736,0.3118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,224.0,8.3,3.8,2320.0
30,-85.133329,35.213382,3,0,5095.0,339.0,2122.0,97.0,1959.0,103.0,310.0,149.0,60.0,38.0,30909.0,2214.0,122.0,62.0,717.0,98.0,1116.0,190.0,547.0,139.0,91.0,82.0,226.0,480.0,0.0,68.0,22.0,26.0,228.0,134.0,3.0,17.0,46.0,32.0,1.0,2.0,6.1,2.8,2.3,1.4,30909.0,2214.0,3.2,1.6,14.1,1.9,21.9,3.4,10.7,2.7,4.6,4.2,4.4,9.4,0.0,1.4,1.0,1.3,10.7,6.1,0.2,0.9,2.3,1.6,0.0,0.0,0.1416,0.1122,0.2573,0.0829,0.594,0.1005,0.3574,0.4869,0.192,0.2212,1.2575,0.096,0.1436,0.0,0.1436,0.0971,0.3965,0.6382,0.2131,0.2651,0.0,1.5129,0.2007,3.508,0.0401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,70.0,3.2,1.4,1497.0
