STN_NUMBER,LONGITUDE,LATITUDE,FC,LANE,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
1,-85.091041,35.422055,3,0,4355.0,437.0,1906.0,83.0,1670.0,130.0,561.0,279.0,170.0,76.0,29006.0,3472.0,456.0,190.0,941.0,129.0,829.0,205.0,586.0,172.0,82.0,60.0,60.0,615.0,0.0,48.0,0.0,17.0,480.0,126.0,0.0,17.0,88.0,48.0,0.0,12.0,12.9,6.2,8.2,3.5,29006.0,3472.0,14.3,5.8,21.6,3.0,19.0,4.3,13.5,3.8,4.9,3.6,1.4,14.1,0.0,1.1,0.0,0.9,25.2,6.6,0.0,1.0,5.3,2.8,0.0,0.3,0.4072,0.737,0.316,0.5192,1.9794,0.4936,0.8307,0.2569,0.3462,0.2475,1.6813,0.2765,0.0216,0.0,0.0216,0.0155,0.0,0.8889,0.0,0.5844,0.0,1.4733,0.1925,5.1556,0.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,208.0,10.6,4.9,2452.0
3,-85.094626,35.381647,6,0,4355.0,437.0,1906.0,83.0,1670.0,130.0,561.0,279.0,170.0,76.0,29006.0,3472.0,456.0,190.0,941.0,129.0,829.0,205.0,586.0,172.0,82.0,60.0,60.0,615.0,0.0,48.0,0.0,17.0,480.0,126.0,0.0,17.0,88.0,48.0,0.0,12.0,12.9,6.2,8.2,3.5,29006.0,3472.0,14.3,5.8,21.6,3.0,19.0,4.3,13.5,3.8,4.9,3.6,1.4,14.1,0.0,1.1,0.0,0.9,25.2,6.6,0.0,1.0,5.3,2.8,0.0,0.3,0.4072,0.737,0.316,0.5192,1.9794,0.4936,0.8307,0.2569,0.3462,0.2475,1.6813,0.2765,0.0216,0.0,0.0216,0.0155,0.0,0.8889,0.0,0.5844,0.0,1.4733,0.1925,5.1556,0.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,208.0,10.6,4.9,2452.0
4,-84.993844,35.370028,3,0,4021.0,352.0,1723.0,61.0,1499.0,101.0,369.0,173.0,73.0,50.0,29352.0,3690.0,496.0,135.0,754.0,96.0,767.0,191.0,715.0,174.0,140.0,71.0,337.0,479.0,8.0,48.0,9.0,19.0,324.0,100.0,17.0,20.0,23.0,22.0,59.0,25.0,9.3,4.2,3.9,2.5,29352.0,3690.0,16.4,4.2,18.8,2.7,19.1,4.4,18.0,4.2,9.3,4.7,8.4,11.9,0.2,1.2,0.5,1.1,18.8,5.7,1.1,1.4,1.5,1.4,1.5,0.6,0.2554,0.3212,0.3065,0.6244,1.5075,0.3435,0.6561,0.261,0.6173,0.6049,2.1393,0.5761,0.3028,0.3749,0.6777,0.3425,0.3277,0.7832,0.4289,0.1607,0.7438,2.4443,0.5661,6.7688,0.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,164.0,8.7,4.0,1214.0
5,-84.998414,35.348575,5,0,4021.0,352.0,1723.0,61.0,1499.0,101.0,369.0,173.0,73.0,50.0,29352.0,3690.0,496.0,135.0,754.0,96.0,767.0,191.0,715.0,174.0,140.0,71.0,337.0,479.0,8.0,48.0,9.0,19.0,324.0,100.0,17.0,20.0,23.0,22.0,59.0,25.0,9.3,4.2,3.9,2.5,29352.0,3690.0,16.4,4.2,18.8,2.7,19.1,4.4,18.0,4.2,9.3,4.7,8.4,11.9,0.2,1.2,0.5,1.1,18.8,5.7,1.1,1.4,1.5,1.4,1.5,0.6,0.2554,0.3212,0.3065,0.6244,1.5075,0.3435,0.6561,0.261,0.6173,0.6049,2.1393,0.5761,0.3028,0.3749,0.6777,0.3425,0.3277,0.7832,0.4289,0.1607,0.7438,2.4443,0.5661,6.7688,0.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,164.0,8.7,4.0,1214.0
6,-85.018097,35.312613,6,0,4021.0,352.0,1723.0,61.0,1499.0,101.0,369.0,173.0,73.0,50.0,29352.0,3690.0,496.0,135.0,754.0,96.0,767.0,191.0,715.0,174.0,140.0,71.0,337.0,479.0,8.0,48.0,9.0,19.0,324.0,100.0,17.0,20.0,23.0,22.0,59.0,25.0,9.3,4.2,3.9,2.5,29352.0,3690.0,16.4,4.2,18.8,2.7,19.1,4.4,18.0,4.2,9.3,4.7,8.4,11.9,0.2,1.2,0.5,1.1,18.8,5.7,1.1,1.4,1.5,1.4,1.5,0.6,0.2554,0.3212,0.3065,0.6244,1.5075,0.3435,0.6561,0.261,0.6173,0.6049,2.1393,0.5761,0.3028,0.3749,0.6777,0.3425,0.3277,0.7832,0.4289,0.1607,0.7438,2.4443,0.5661,6.7688,0.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,164.0,8.7,4.0,1214.0
8,-84.968024,35.308,3,0,4021.0,352.0,1723.0,61.0,1499.0,101.0,369.0,173.0,73.0,50.0,29352.0,3690.0,496.0,135.0,754.0,96.0,767.0,191.0,715.0,174.0,140.0,71.0,337.0,479.0,8.0,48.0,9.0,19.0,324.0,100.0,17.0,20.0,23.0,22.0,59.0,25.0,9.3,4.2,3.9,2.5,29352.0,3690.0,16.4,4.2,18.8,2.7,19.1,4.4,18.0,4.2,9.3,4.7,8.4,11.9,0.2,1.2,0.5,1.1,18.8,5.7,1.1,1.4,1.5,1.4,1.5,0.6,0.2554,0.3212,0.3065,0.6244,1.5075,0.3435,0.6561,0.261,0.6173,0.6049,2.1393,0.5761,0.3028,0.3749,0.6777,0.3425,0.3277,0.7832,0.4289,0.1607,0.7438,2.4443,0.5661,6.7688,0.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,164.0,8.7,4.0,1214.0
9,-84.952251,35.295511,3,0,3938.0,295.0,2050.0,91.0,1719.0,114.0,656.0,211.0,212.0,80.0,23901.0,2757.0,322.0,102.0,802.0,98.0,716.0,147.0,750.0,126.0,89.0,58.0,225.0,416.0,17.0,55.0,0.0,17.0,588.0,122.0,22.0,25.0,70.0,37.0,0.0,12.0,16.7,5.1,11.7,4.2,23901.0,2757.0,11.4,3.5,20.4,2.7,18.2,3.5,19.0,2.9,5.2,3.4,5.7,10.6,0.4,1.5,0.0,0.8,28.7,5.6,1.3,1.5,4.1,2.1,0.0,0.3,0.5407,0.8803,0.5625,0.4032,2.3867,0.6232,0.7586,0.2023,0.6842,0.2697,1.9148,0.4104,0.1881,0.4774,0.6655,0.3378,0.0,0.9343,0.4673,0.4712,0.0,1.8728,0.3159,6.8398,0.4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,237.0,98.0,6.0,2.4,2125.0
10,-84.954709,35.285107,6,0,4164.0,396.0,1543.0,29.0,1388.0,87.0,176.0,135.0,97.0,56.0,29560.0,5782.0,243.0,107.0,734.0,106.0,1074.0,239.0,505.0,200.0,77.0,62.0,120.0,559.0,0.0,48.0,0.0,17.0,107.0,80.0,23.0,25.0,0.0,12.0,69.0,22.0,4.3,3.2,4.6,2.6,29560.0,5782.0,8.6,3.7,17.6,3.0,25.8,5.2,12.3,4.7,5.5,4.5,2.9,13.4,0.0,1.2,0.0,1.1,6.9,5.2,1.7,1.9,0.0,2.5,1.7,0.5,0.0901,0.3915,0.3005,0.2771,1.0592,0.2037,0.5786,0.7782,0.2677,0.298,1.9225,0.4158,0.0789,0.0,0.0789,0.0587,0.0,0.5617,0.5448,0.0,0.7586,1.8651,0.3119,4.9257,0.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,71.0,2.5,1.7,1245.0
12,-85.124861,35.312024,7,0,3764.0,293.0,1576.0,41.0,1420.0,100.0,485.0,382.0,116.0,74.0,42164.0,8098.0,202.0,74.0,879.0,155.0,861.0,166.0,480.0,148.0,54.0,43.0,179.0,425.0,6.0,47.0,0.0,17.0,185.0,62.0,80.0,54.0,59.0,52.0,0.0,12.0,12.9,9.9,6.9,4.1,42164.0,8098.0,7.4,2.7,23.4,3.7,22.9,4.0,12.8,4.1,3.8,3.0,4.8,11.3,0.2,1.4,0.0,1.1,11.7,4.0,5.6,3.8,4.2,3.6,0.0,0.3,0.4072,0.6376,0.0959,0.2293,1.37,0.3001,0.9036,0.5914,0.2975,0.151,1.9435,0.4327,0.1537,0.3749,0.5286,0.2731,0.0,0.6585,0.9305,0.4847,0.0,2.0737,0.4115,5.9158,0.286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,215.0,129.0,5.7,3.4,1080.0
15,-85.161381,35.278365,4,0,5326.0,454.0,2855.0,156.0,2442.0,217.0,676.0,269.0,42.0,39.0,26230.0,3578.0,431.0,152.0,1094.0,164.0,1097.0,265.0,1097.0,296.0,217.0,124.0,186.0,620.0,19.0,68.0,16.0,29.0,575.0,198.0,47.0,43.0,141.0,111.0,0.0,17.0,12.9,5.2,1.7,1.6,26230.0,3578.0,10.9,3.8,20.5,3.4,20.6,4.7,20.6,5.4,8.9,5.0,3.5,11.6,0.4,1.4,0.6,1.0,20.1,6.8,1.9,1.8,5.8,4.3,0.0,0.3,0.4072,0.0615,0.4186,0.381,1.2683,0.2668,0.766,0.3857,0.7654,0.5786,2.4957,0.812,0.1038,0.4774,0.5812,0.2994,0.3479,0.8089,0.5786,0.6203,0.0,2.3557,0.5247,6.7009,0.4158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,181.0,9.2,3.4,5012.0
