"Temp","WindSp","Precip","Snow","StationId","Date","Dir","Long","Lat","NumberOfLanes","FC","SpeedLimit","FRC","DayOfWeek","Month","Hour","AvgSp","ProbeCount","Volume","PenRate","ProbeCountLastWeek","AvgProbeCountLastMonth","fold"
54.5,6.9,0,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,12,64.87,15,404,0.0371287128712871,20,22.25,9
56.5,8.6,0.001,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,13,59.99,24,427.5,0.056140350877193,23,21.5,9
59.1,9.1,0,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,14,62.65,28,463,0.060475161987041,22,27.25,9
59.7,9.1,0,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,15,61.96,35,553.5,0.0632339656729901,31,28.25,9
59.2,8.3,0.001,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,16,62.21,31,588.5,0.0526762956669499,35,32.25,9
58,6.1,0,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,17,65.01,32,605,0.0528925619834711,30,24.25,9
56.3,5.5,0.001,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,18,60.38,12,394,0.0304568527918782,25,24.5,9
55.6,5.2,0.001,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,19,56.31,4,244.5,0.016359918200409,13,13.75,9
56.9,4.2,0.01,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,20,63.28,3,174.5,0.0171919770773639,8,8,9
57,4.8,0.01,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,21,59.65,3,126.5,0.0237154150197628,6,6.75,9
57.1,5.3,0.02,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,22,60.74,2,88.5,0.0225988700564972,3,3.75,9
57.2,5.8,0.02,0,1,2019-02-04,0,-85.091041,35.422055,0,3,55,2,"Monday",2,23,54.99,2,55.5,0.036036036036036,2,1.75,9
57.3,6.5,0.03,0,1,2019-02-05,0,-85.091041,35.422055,0,3,55,2,"Tuesday",2,0,59.96,1,30.5,0.0327868852459016,2,1.5,9
57.3,7.1,0.02,0,1,2019-02-05,0,-85.091041,35.422055,0,3,55,2,"Tuesday",2,1,68.35,1,30.5,0.0327868852459016,0,0,9
