site_ownerid,Latitude,Longitude,lane,FC
047-0114,34.9851,-85.2009,0,1
067-9006,33.8968,-84.4665,0,1
083-0194,34.8223,-85.5396,0,1
083-0209,34.9776,-85.4565,0,1
083-0214,34.9829,-85.4098,0,1
089-0314,33.7032,-84.1461,0,1
097-0107,33.7215,-84.8787,0,1
119-0292,34.3663,-83.285,0,1
121-0516,33.5945,-84.4974,0,1
135-0267,34.0665,-84.0105,0,1
135-0298,33.9714,-84.0922,0,1
135-6285,33.9087,-84.2286,0,1
135-6287,33.9225,-84.1881,0,1
139-0418,34.3115,-83.7879,0,1
143-0126,33.6808,-85.3022,0,1
147-0287,34.4763,-83.0504,0,1
211-0203,33.5556,-83.4578,0,1
265-0163,33.5266,-82.8896,0,1
