STN_NUMBER,LONGITUDE,LATITUDE,FC,LANE
1,-85.091041,35.422055,3,0
3,-85.094626,35.381647,6,0
4,-84.993844,35.370028,3,0
5,-84.998414,35.348575,5,0
6,-85.018097,35.312613,6,0
8,-84.968024,35.308,3,0
9,-84.952251,35.295511,3,0
10,-84.954709,35.285107,6,0
12,-85.124861,35.312024,7,0
15,-85.161381,35.278365,4,0
16,-85.206855,35.260076,6,0
17,-85.199723,35.248517,6,0
19,-85.146596,35.263399,4,0
20,-85.138629,35.274597,3,0
21,-85.024249,35.229388,6,0
23,-85.067986,35.190177,5,0
24,-85.056914,35.182349,5,0
25,-85.054818,35.172784,5,0
26,-85.030656,35.168709,4,0
27,-85.020154,35.172282,5,0
28,-85.090662,35.161468,3,0
29,-85.106813,35.158524,5,0
30,-85.133329,35.213382,3,0
31,-85.155283,35.214009,4,0
32,-85.171591,35.200786,7,0
33,-85.189604,35.189903,4,0
34,-85.194966,35.193797,4,0
36,-85.229381,35.231354,5,0
37,-85.252937,35.186671,7,0
38,-85.246054,35.190201,4,0
39,-85.238696,35.179934,4,0
40,-85.195343,35.167095,4,0
41,-85.180601,35.177938,4,0
42,-85.170545,35.179554,3,0
43,-85.112814,35.129659,4,0
44,-85.206725,35.146483,4,0
45,-85.242751,35.132955,3,0
46,-85.242642,35.128246,3,0
47,-85.246787,35.127712,3,0
48,-85.246044,35.134053,3,0
49,-85.274063,35.116114,4,0
50,-85.297432,35.127781,7,0
51,-85.308762,35.125967,4,0
52,-85.308323,35.132208,6,0
53,-85.315179,35.142256,4,0
54,-85.3289,35.139325,4,0
55,-85.314409,35.164727,7,0
56,-85.321639,35.167268,4,0
58,-85.343755,35.100498,4,0
59,-85.327153,35.104286,4,0
60,-85.326167,35.085299,5,0
61,-85.318146,35.081844,4,0
62,-85.316914,35.08498,4,0
63,-85.278387,35.106451,4,0
64,-85.275463,35.10169,3,0
65,-85.271621,35.103756,6,0
66,-85.218741,35.084463,7,0
67,-85.214055,35.085354,7,0
68,-85.232455,35.074919,3,0
69,-85.205959,35.077026,3,0
70,-85.192318,35.069904,4,0
71,-85.141374,35.063791,3,0
72,-85.290472,35.018587,1,0
73,-85.093015,35.068071,3,0
74,-85.087419,35.080492,1,0
76,-85.055179,35.088859,4,0
77,-85.037956,35.078079,4,0
79,-85.066196,35.062604,4,0
80,-85.069532,35.054476,4,0
81,-85.025654,35.027535,3,0
83,-84.989829,35.009758,5,0
84,-85.056023,34.986732,6,0
85,-85.05876,34.995151,4,0
86,-85.086302,34.996643,4,0
87,-85.096447,34.990637,4,0
88,-85.102503,35.000357,4,0
89,-85.090679,35.00881,4,0
90,-85.093855,35.016538,4,0
91,-85.130958,35.00409,4,0
92,-85.148088,34.989203,4,0
93,-85.136109,35.031085,4,0
94,-85.136861,35.051455,4,0
97,-85.215945,35.045866,3,0
98,-85.194564,35.032528,4,0
99,-85.188133,35.028811,3,0
100,-85.190085,35.018925,3,0
101,-85.190303,34.987666,4,0
102,-85.211705,35.013332,3,0
103,-85.257958,35.029447,3,0
104,-85.270954,35.009365,3,0
105,-85.287319,35.037998,4,0
106,-85.286889,35.040395,4,0
107,-85.28985,35.047491,4,0
108,-85.285711,35.054017,3,0
109,-85.307312,35.062511,4,0
110,-85.308977,35.060136,4,0
111,-85.2882,34.98708,3,0
112,-85.325744,35.013165,3,0
113,-85.326665,35.014095,4,0
114,-85.337809,35.008298,4,0
115,-85.340947,34.990601,4,0
116,-85.344575,34.987463,5,0
117,-85.364906,35.024435,4,0
118,-85.372096,35.033599,7,0
120,-85.393965,35.016905,6,0
122,-85.466338,34.985195,5,0
123,-85.384526,35.016505,4,0
124,-85.3095,35.047583,4,0
125,-85.311911,35.036308,3,0
126,-85.30791,35.040233,4,0
128,-85.303652,35.03477,4,0
129,-85.304154,35.033067,7,0
130,-85.323228,35.01579,3,0
131,-85.272082,35.023181,4,0
132,-85.271955,35.018489,3,0
133,-85.23457,34.995211,3,0
134,-85.238727,35.017892,3,0
135,-85.26568,35.041519,4,0
