Demographic,r2_0,r2_1,r2_2,r2_3,range
POV_0.6,0.9227647302368253,0.7338583411520011,,,0.18890638908482416
GROUPQ_0.7,0.8403104137841352,0.9356034744965182,,,0.09529306071238297
NOVEH_0.7,0.8946650176444426,0.8104081945872679,,,0.08425682305717475
CROWD_0.7,0.8671296882324557,0.8042926421586134,,,0.06283704607384233
MOBILE_0.7,0.868950913041735,0.7400315855302795,,,0.12891932751145552
MUNIT_0.7,0.8414173036512972,0.8805601382858212,,,0.03914283463452406
LIMENG_0.7,0.7686614361949607,0.9437829462717467,,,0.175121510076786
MINRTY_0.7,0.9152854923792093,0.7986837467969393,,,0.11660174558226999
SNGPNT_0.7,0.8969964768524947,0.7421160283855013,,,0.15488044846699345
DISABL_0.7,0.902720432330078,0.702308717487174,,,0.200411714842904
AGE17_0.7,0.845941123670247,0.9555107780909784,,,0.10956965442073141
AGE65_0.7,0.8921599480661665,0.8109704629478685,,,0.08118948511829804
NOHSDP_0.7,0.866979371493655,0.8631473201172467,,,0.0038320513764082964
PCI_0.7,0.901545524847798,0.6570751786035742,,,0.2444703462442238
UNEMP_0.7,0.8610754658009072,0.9006247571770587,,,0.039549291376151485
POV_0.7,0.9037551096926643,0.7330364251815015,,,0.1707186845111628
GROUPQ_0.8,0.8490918898408564,0.9479985773516905,,,0.09890668751083409
NOVEH_0.8,0.9047713309543762,0.7215969420253129,,,0.18317438892906335
CROWD_0.8,0.8675563151514937,0.8210089791173196,,,0.04654733603417405
MOBILE_0.8,0.8698458007061648,0.7171915576013044,,,0.15265424310486042
MUNIT_0.8,0.8575772158424396,0.8735115194415982,,,0.015934303599158595
LIMENG_0.8,0.8275274319311179,0.9337411826217217,,,0.10621375069060379
MINRTY_0.8,0.9013303724843846,0.6846205693870581,,,0.21670980309732657
SNGPNT_0.8,0.9002124791080036,0.6498644048720394,,,0.25034807423596417
DISABL_0.8,0.8993001110540271,0.353426202899507,,,0.5458739081545201
AGE17_0.8,0.8654056701245157,0.8413745677595972,,,0.024031102364918566
AGE65_0.8,0.8917900102319263,0.800051620027469,,,0.09173839020445729
NOHSDP_0.8,0.8651312541066016,0.8830937161070834,,,0.017962462000481794
PCI_0.8,0.8648957703539737,0.8805207734635292,,,0.015625003109555502
UNEMP_0.8,0.8643995984586511,0.8868324030186076,,,0.022432804559956443
POV_0.8,0.8666052823262201,0.8663684722303514,,,0.00023681009586873358
GROUPQ_0.9,0.8506220383992423,0.9473201720728487,,,0.09669813367360636
NOVEH_0.9,0.8624502140277807,0.8832537008875473,,,0.02080348685976663
CROWD_0.9,0.8661832003291905,0.8812436621548313,,,0.015060461825640803
MOBILE_0.9,0.8711307273558853,0.5090803505762099,,,0.36205037677967533
MUNIT_0.9,0.842592446337952,0.932188766034925,,,0.0895963196969729
LIMENG_0.9,0.8617071453007097,0.9004525326667554,,,0.038745387366045714
MINRTY_0.9,0.8994418400205307,0.48889968400597067,,,0.41054215601456007
SNGPNT_0.9,0.8636217458791342,0.8979464725780654,,,0.03432472669893116
DISABL_0.9,0.9000943650761449,0.08006230825267673,,,0.8200320568234682
AGE17_0.9,0.8653992858610562,0.8701731292696553,,,0.004773843408599099
AGE65_0.9,0.8475319476312793,0.9643124861212338,,,0.11678053848995451
NOHSDP_0.9,0.8636350244593002,0.9051292788051731,,,0.04149425434587295
PCI_0.9,0.8641621660803065,0.8654515252956714,,,0.0012893592153648825
UNEMP_0.9,0.8634727561509876,0.9028542436027791,,,0.039381487451791486
POV_0.9,0.8674344083256997,0.7816705527463385,,,0.08576385557936128
