Demographic,r2_0,r2_1,r2_2,r2_3,range
GROUPQ_quartile,0.7225415173960644,,0.8923182352969508,0.9483868585983024,0.22584534120223798
NOVEH_quartile,0.9235722361413097,0.88227004507956,0.8883181194562517,0.8071061276858645,0.11646610845544514
CROWD_quartile,0.9330232934935312,0.8177132941180921,0.9017060901518038,0.8042926421586134,0.1287306513349178
MOBILE_quartile,0.871026009078113,0.855856724364433,0.9399878994050043,0.7400315855302795,0.1999563138747248
MUNIT_quartile,0.8382529744079025,0.6332003562850004,0.9652193488323895,0.8791447401162552,0.3320189925473891
LIMENG_quartile,0.7247841959415352,0.6705936114769332,0.9091500007889755,0.9337411826217217,0.2631475711447885
MINRTY_quartile,0.7364687149119313,0.9407859969180441,0.9111178339160066,0.7943591295831627,0.20431728200611277
SNGPNT_quartile,0.9373644074341426,0.8845594294923612,0.7666811620747653,0.7212969352928837,0.21606747214125888
DISABL_quartile,0.90042396475818,0.9054519771626844,0.9187292049412926,0.4952217901165684,0.4235074148247242
AGE17_quartile,0.9264033062039031,0.8613224754390306,0.8196078314507599,0.8699635340990085,0.10679547475314322
AGE65_quartile,0.8241915501115568,0.9215991335139024,0.8636730108418188,0.8051424309678555,0.1164567025460469
NOHSDP_quartile,0.9029015040598259,0.842297323044088,0.858185051775685,0.8622041834087223,0.060604181015737946
PCI_quartile,0.9484742122318015,0.8751814004586849,0.3653598257628568,0.8857743613139013,0.5831143864689448
UNEMP_quartile,0.8362207306371123,0.9357694165360121,0.8517019799510392,0.8926250306161733,0.09954868589889976
POV_quartile,0.9339448183795371,0.9205892946316784,0.6835640237779397,0.8850761543769299,0.25038079460159746
GROUPQ_0.6,0.8402349463116252,0.8861819920065567,,,0.045947045694931465
NOVEH_0.6,0.8937108772726405,0.8371651501604224,,,0.05654572711221817
CROWD_0.6,0.8691607589998707,0.8446157946047412,,,0.02454496439512943
MOBILE_0.6,0.8672039413902132,0.7522640071127059,,,0.11493993427750726
MUNIT_0.6,0.7549009533825853,0.9001483283337649,,,0.14524737495117956
LIMENG_0.6,0.7630251427253575,0.9419814967010136,,,0.17895635397565612
MINRTY_0.6,0.9182265508002654,0.8136367927834205,,,0.10458975801684489
SNGPNT_0.6,0.9167501743794707,0.7189095328432479,,,0.19784064153622283
DISABL_0.6,0.8995389593914366,0.8164278278391193,,,0.08311113155231731
AGE17_0.6,0.8848987108636853,0.8074561370657632,,,0.07744257379792208
AGE65_0.6,0.8917509549244343,0.8160801480106015,,,0.07567080691383288
NOHSDP_0.6,0.8660253017514317,0.8693246328184051,,,0.0032993310669734432
PCI_0.6,0.9012616592107917,0.6629383778596238,,,0.23832328135116787
UNEMP_0.6,0.8823428024877066,0.8579854789978333,,,0.024357323489873295
