STN_NUMBER,LONGITUDE,LATITUDE,POV_percentile,UNEMP_percentile,PCI_percentile,NOHSDP_percentile,AGE65_percentile,AGE17_percentile,DISABL_percentile,SNGPNT_percentile,MINRTY_percentile,LIMENG_percentile,MUNIT_percentile,MOBILE_percentile,CROWD_percentile,NOVEH_percentile,GROUPQ_percentile,POV_0.9,UNEMP_0.9,PCI_0.9,NOHSDP_0.9,AGE65_0.9,AGE17_0.9,DISABL_0.9,SNGPNT_0.9,MINRTY_0.9,LIMENG_0.9,MUNIT_0.9,MOBILE_0.9,CROWD_0.9,NOVEH_0.9,GROUPQ_0.9,POV_0.8,UNEMP_0.8,PCI_0.8,NOHSDP_0.8,AGE65_0.8,AGE17_0.8,DISABL_0.8,SNGPNT_0.8,MINRTY_0.8,LIMENG_0.8,MUNIT_0.8,MOBILE_0.8,CROWD_0.8,NOVEH_0.8,GROUPQ_0.8,POV_0.7,UNEMP_0.7,PCI_0.7,NOHSDP_0.7,AGE65_0.7,AGE17_0.7,DISABL_0.7,SNGPNT_0.7,MINRTY_0.7,LIMENG_0.7,MUNIT_0.7,MOBILE_0.7,CROWD_0.7,NOVEH_0.7,GROUPQ_0.7,POV_0.6,UNEMP_0.6,PCI_0.6,NOHSDP_0.6,AGE65_0.6,AGE17_0.6,DISABL_0.6,SNGPNT_0.6,MINRTY_0.6,LIMENG_0.6,MUNIT_0.6,MOBILE_0.6,CROWD_0.6,NOVEH_0.6,GROUPQ_0.6,POV_quartile,UNEMP_quartile,PCI_quartile,NOHSDP_quartile,AGE65_quartile,AGE17_quartile,DISABL_quartile,SNGPNT_quartile,MINRTY_quartile,LIMENG_quartile,MUNIT_quartile,MOBILE_quartile,CROWD_quartile,NOVEH_quartile,GROUPQ_quartile
1,-85.091041,35.422055,0.4072,0.737,0.316,0.5192,0.8307,0.2569,0.3462,0.2475,0.0216,0.0,0.0,0.8889,0.0,0.5844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,2,3,1,1,0,0,0,0,3,0,2,0
3,-85.094626,35.381647,0.4072,0.737,0.316,0.5192,0.8307,0.2569,0.3462,0.2475,0.0216,0.0,0.0,0.8889,0.0,0.5844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,2,3,1,1,0,0,0,0,3,0,2,0
4,-84.993844,35.370028,0.2554,0.3212,0.3065,0.6244,0.6561,0.261,0.6173,0.6049,0.3028,0.3749,0.3277,0.7832,0.4289,0.1607,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,2,2,1,1,1,3,1,0,2
5,-84.998414,35.348575,0.2554,0.3212,0.3065,0.6244,0.6561,0.261,0.6173,0.6049,0.3028,0.3749,0.3277,0.7832,0.4289,0.1607,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,2,2,1,1,1,3,1,0,2
6,-85.018097,35.312613,0.2554,0.3212,0.3065,0.6244,0.6561,0.261,0.6173,0.6049,0.3028,0.3749,0.3277,0.7832,0.4289,0.1607,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,2,2,1,1,1,3,1,0,2
8,-84.968024,35.308,0.2554,0.3212,0.3065,0.6244,0.6561,0.261,0.6173,0.6049,0.3028,0.3749,0.3277,0.7832,0.4289,0.1607,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,2,2,1,1,1,3,1,0,2
9,-84.952251,35.295511,0.5407,0.8803,0.5625,0.4032,0.7586,0.2023,0.6842,0.2697,0.1881,0.4774,0.0,0.9343,0.4673,0.4712,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,3,2,1,3,0,2,1,0,1,0,3,1,1,0
10,-84.954709,35.285107,0.0901,0.3915,0.3005,0.2771,0.5786,0.7782,0.2677,0.298,0.0789,0.0,0.0,0.5617,0.5448,0.0,0.7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,1,0,0,0,2,2,0,3
12,-85.124861,35.312024,0.4072,0.6376,0.0959,0.2293,0.9036,0.5914,0.2975,0.151,0.1537,0.3749,0.0,0.6585,0.9305,0.4847,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,3,2,1,0,0,1,0,2,3,1,0
15,-85.161381,35.278365,0.4072,0.0615,0.4186,0.381,0.766,0.3857,0.7654,0.5786,0.1038,0.4774,0.3479,0.8089,0.5786,0.6203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3,1,3,2,0,1,1,3,2,2,0
