STN_NUMBER,LONGITUDE,LATITUDE,POV_percentile,UNEMP_percentile,PCI_percentile,NOHSDP_percentile,AGE65_percentile,AGE17_percentile,DISABL_percentile,SNGPNT_percentile,MINRTY_percentile,LIMENG_percentile,MUNIT_percentile,MOBILE_percentile,CROWD_percentile,NOVEH_percentile,GROUPQ_percentile,POV_0.9,UNEMP_0.9,PCI_0.9,NOHSDP_0.9,AGE65_0.9,AGE17_0.9,DISABL_0.9,SNGPNT_0.9,MINRTY_0.9,LIMENG_0.9,MUNIT_0.9,MOBILE_0.9,CROWD_0.9,NOVEH_0.9,GROUPQ_0.9,POV_0.8,UNEMP_0.8,PCI_0.8,NOHSDP_0.8,AGE65_0.8,AGE17_0.8,DISABL_0.8,SNGPNT_0.8,MINRTY_0.8,LIMENG_0.8,MUNIT_0.8,MOBILE_0.8,CROWD_0.8,NOVEH_0.8,GROUPQ_0.8,POV_0.7,UNEMP_0.7,PCI_0.7,NOHSDP_0.7,AGE65_0.7,AGE17_0.7,DISABL_0.7,SNGPNT_0.7,MINRTY_0.7,LIMENG_0.7,MUNIT_0.7,MOBILE_0.7,CROWD_0.7,NOVEH_0.7,GROUPQ_0.7,POV_0.6,UNEMP_0.6,PCI_0.6,NOHSDP_0.6,AGE65_0.6,AGE17_0.6,DISABL_0.6,SNGPNT_0.6,MINRTY_0.6,LIMENG_0.6,MUNIT_0.6,MOBILE_0.6,CROWD_0.6,NOVEH_0.6,GROUPQ_0.6,POV_quartile,UNEMP_quartile,PCI_quartile,NOHSDP_quartile,AGE65_quartile,AGE17_quartile,DISABL_quartile,SNGPNT_quartile,MINRTY_quartile,LIMENG_quartile,MUNIT_quartile,MOBILE_quartile,CROWD_quartile,NOVEH_quartile,GROUPQ_quartile
16,-85.206855,35.260076,0.4072,0.0615,0.4186,0.381,0.766,0.3857,0.7654,0.5786,0.1038,0.4774,0.3479,0.8089,0.5786,0.6203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3,1,3,2,0,1,1,3,2,2,0
17,-85.199723,35.248517,0.4072,0.0615,0.4186,0.381,0.766,0.3857,0.7654,0.5786,0.1038,0.4774,0.3479,0.8089,0.5786,0.6203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3,1,3,2,0,1,1,3,2,2,0
19,-85.146596,35.263399,0.4553,0.4618,0.3673,0.4875,0.7229,0.2839,0.7776,0.3385,0.1504,0.6278,0.6581,0.7656,0.5974,0.2556,0.8463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,2,1,3,1,0,2,2,3,2,1,3
20,-85.138629,35.274597,0.0901,0.7437,0.1506,0.4187,0.7964,0.1666,0.4151,0.205,0.3028,0.4255,0.0,0.6958,0.0,0.1478,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,0,1,0,1,1,0,2,0,0,0
21,-85.024249,35.229388,0.2554,0.3212,0.3065,0.6244,0.6561,0.261,0.6173,0.6049,0.3028,0.3749,0.3277,0.7832,0.4289,0.1607,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,2,2,1,1,1,3,1,0,2
23,-85.067986,35.190177,0.0901,0.3915,0.3005,0.2771,0.5786,0.7782,0.2677,0.298,0.0789,0.0,0.0,0.5617,0.5448,0.0,0.7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,1,0,0,0,2,2,0,3
24,-85.056914,35.182349,0.3916,0.3915,0.2255,0.4531,0.4376,0.4767,0.4226,0.0762,0.3729,0.7397,0.4235,0.5434,0.2886,0.2441,0.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,2,1,2,1,0,2
25,-85.054818,35.172784,0.3916,0.3915,0.2255,0.4531,0.4376,0.4767,0.4226,0.0762,0.3729,0.7397,0.4235,0.5434,0.2886,0.2441,0.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,2,1,2,1,0,2
26,-85.030656,35.168709,0.1335,0.4388,0.1006,0.2454,0.4801,0.7121,0.1102,0.12,0.5617,0.8449,0.6851,0.3076,0.2239,0.3336,0.5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,2,3,2,1,0,1,2
27,-85.020154,35.172282,0.0901,0.3915,0.3005,0.2771,0.5786,0.7782,0.2677,0.298,0.0789,0.0,0.0,0.5617,0.5448,0.0,0.7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,1,0,0,0,2,2,0,3
28,-85.090662,35.161468,0.3916,0.3915,0.2255,0.4531,0.4376,0.4767,0.4226,0.0762,0.3729,0.7397,0.4235,0.5434,0.2886,0.2441,0.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,2,1,2,1,0,2
29,-85.106813,35.158524,0.3916,0.3915,0.2255,0.4531,0.4376,0.4767,0.4226,0.0762,0.3729,0.7397,0.4235,0.5434,0.2886,0.2441,0.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,2,1,2,1,0,2
30,-85.133329,35.213382,0.1416,0.1122,0.2573,0.0829,0.3574,0.4869,0.192,0.2212,0.1436,0.0,0.3965,0.6382,0.2131,0.2651,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,1,0
31,-85.155283,35.214009,0.1646,0.7681,0.1951,0.4504,0.3223,0.7633,0.1231,0.559,0.4228,0.3749,0.0,0.7188,0.4673,0.1247,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,1,3,0,2,1,1,0,2,1,0,0
32,-85.171591,35.200786,0.1165,0.3915,0.3498,0.3533,0.5786,0.6669,0.2975,0.4633,0.1625,0.0,0.3965,0.4289,0.2131,0.5268,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,0,1,1,0,2,0
33,-85.189604,35.189903,0.1165,0.3915,0.3498,0.3533,0.5786,0.6669,0.2975,0.4633,0.1625,0.0,0.3965,0.4289,0.2131,0.5268,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,0,1,1,0,2,0
34,-85.194966,35.193797,0.0901,0.8005,0.1607,0.1848,0.53,0.4633,0.2272,0.2556,0.3783,0.6628,0.3864,0.4255,0.4073,0.0515,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,1,1,2,1,1,1,0,0
36,-85.229381,35.231354,0.4072,0.0615,0.4186,0.381,0.766,0.3857,0.7654,0.5786,0.1038,0.4774,0.3479,0.8089,0.5786,0.6203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3,1,3,2,0,1,1,3,2,2,0
37,-85.252937,35.186671,0.1775,0.8059,0.2384,0.4875,0.5233,0.6811,0.6349,0.2144,0.0877,0.646,0.0,0.498,0.3304,0.6068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,3,0,1,2,2,2,0,0,2,0,1,1,2,0
38,-85.246054,35.190201,0.1775,0.8059,0.2384,0.4875,0.5233,0.6811,0.6349,0.2144,0.0877,0.646,0.0,0.498,0.3304,0.6068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,3,0,1,2,2,2,0,0,2,0,1,1,2,0
39,-85.238696,35.179934,0.1037,0.0385,0.1891,0.1989,0.9171,0.3581,0.7275,0.3931,0.4579,0.4774,0.7674,0.3774,0.4073,0.6861,0.7862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,1,2,1,1,1,3,1,1,2,3
40,-85.195343,35.167095,0.0901,0.8005,0.1607,0.1848,0.53,0.4633,0.2272,0.2556,0.3783,0.6628,0.3864,0.4255,0.4073,0.0515,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,1,1,2,1,1,1,0,0
41,-85.180601,35.177938,0.0901,0.8005,0.1607,0.1848,0.53,0.4633,0.2272,0.2556,0.3783,0.6628,0.3864,0.4255,0.4073,0.0515,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,1,1,2,1,1,1,0,0
42,-85.170545,35.179554,0.1165,0.3915,0.3498,0.3533,0.5786,0.6669,0.2975,0.4633,0.1625,0.0,0.3965,0.4289,0.2131,0.5268,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,0,1,1,0,2,0
43,-85.112814,35.129659,0.0867,0.4456,0.2228,0.2165,0.6467,0.1416,0.5605,0.2475,0.6359,0.0,0.6244,0.3821,0.5057,0.078,0.5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,2,0,2,0,2,1,2,0,2
44,-85.206725,35.146483,0.0799,0.6376,0.079,0.0904,0.9757,0.4026,0.3516,0.0843,0.3621,0.3425,0.8341,0.437,0.0,0.6759,0.6669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,3,1,1,0,1,1,3,1,0,2,2
45,-85.242751,35.132955,0.1037,0.0385,0.1891,0.1989,0.9171,0.3581,0.7275,0.3931,0.4579,0.4774,0.7674,0.3774,0.4073,0.6861,0.7862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,1,2,1,1,1,3,1,1,2,3
46,-85.242642,35.128246,0.0799,0.6376,0.079,0.0904,0.9757,0.4026,0.3516,0.0843,0.3621,0.3425,0.8341,0.437,0.0,0.6759,0.6669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,3,1,1,0,1,1,3,1,0,2,2
47,-85.246787,35.127712,0.7168,0.4618,0.2917,0.2637,0.7424,0.2387,0.6471,0.648,0.6365,0.0,0.7512,0.3076,0.4511,0.4332,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,1,1,1,2,0,2,2,2,0,3,1,1,1,2
48,-85.246044,35.134053,0.7168,0.4618,0.2917,0.2637,0.7424,0.2387,0.6471,0.648,0.6365,0.0,0.7512,0.3076,0.4511,0.4332,0.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,1,1,1,2,0,2,2,2,0,3,1,1,1,2
49,-85.274063,35.116114,0.206,0.6714,0.26,0.2198,0.53,0.2738,0.2975,0.6682,0.5907,0.0,0.6487,0.4112,0.4511,0.7173,0.6844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,0,2,1,1,2,2,0,2,1,1,2,2
50,-85.297432,35.127781,0.3462,0.0615,0.183,0.2569,0.9865,0.0627,0.691,0.205,0.5893,0.7134,0.9494,0.0,0.3844,0.7953,0.9339,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,3,0,2,0,2,2,3,0,1,3,3
51,-85.308762,35.125967,0.3462,0.0615,0.183,0.2569,0.9865,0.0627,0.691,0.205,0.5893,0.7134,0.9494,0.0,0.3844,0.7953,0.9339,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,3,0,2,0,2,2,3,0,1,3,3
52,-85.308323,35.132208,0.3462,0.0615,0.183,0.2569,0.9865,0.0627,0.691,0.205,0.5893,0.7134,0.9494,0.0,0.3844,0.7953,0.9339,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,3,0,2,0,2,2,3,0,1,3,3
53,-85.315179,35.142256,0.6436,0.6464,0.2167,0.4187,0.7458,0.3635,0.3881,0.2765,0.4558,0.0,0.6298,0.6009,0.7188,0.5844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,2,0,1,2,1,1,1,1,0,2,2,2,2,0
54,-85.3289,35.139325,0.1037,0.1339,0.0716,0.0695,0.296,0.9326,0.0933,0.4262,0.2043,0.3749,0.3277,0.3774,0.0,0.0292,0.6123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,1,1,0,0,2
55,-85.314409,35.164727,0.1037,0.1339,0.0716,0.0695,0.296,0.9326,0.0933,0.4262,0.2043,0.3749,0.3277,0.3774,0.0,0.0292,0.6123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,1,1,0,0,2
56,-85.321639,35.167268,0.1037,0.1339,0.0716,0.0695,0.296,0.9326,0.0933,0.4262,0.2043,0.3749,0.3277,0.3774,0.0,0.0292,0.6123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,1,1,0,0,2
58,-85.343755,35.100498,0.6436,0.6464,0.2167,0.4187,0.7458,0.3635,0.3881,0.2765,0.4558,0.0,0.6298,0.6009,0.7188,0.5844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,2,0,1,2,1,1,1,1,0,2,2,2,2,0
59,-85.327153,35.104286,0.6436,0.6464,0.2167,0.4187,0.7458,0.3635,0.3881,0.2765,0.4558,0.0,0.6298,0.6009,0.7188,0.5844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,2,0,1,2,1,1,1,1,0,2,2,2,2,0
60,-85.326167,35.085299,0.4051,0.4111,0.1161,0.1322,0.3621,0.0243,0.0717,0.12,0.2913,0.646,0.9535,0.3469,0.2387,0.038,0.9117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,2,3,1,0,0,3
