model,correction,opt_bound,cutoff,r2_0,r2_1,r2_diff,pval,fdr_corrected_pval,Sig at 0.05,Sig at 0.01,Sig at 0.001,overall r2,mape,mae,gamma
gbt,pearson,0.25,0.6,0.9143271692725778,0.8253031057347819,0.0890240635377959,0.0015,0.0015,True,True,False,0.869235614528847,0.8711686002090494,50.41838474448108,0.89117370050614
gbt,pearson,0.25,0.7,0.913290014118028,0.8103023629367534,0.10298765118127462,0.0007,0.0009333333333333,True,True,True,0.869235614528847,0.8711686002090494,50.41838474448108,0.89117370050614
gbt,pearson,0.25,0.8,0.9062983000489878,0.6792773323211152,0.2270209677278726,0.0,0.0,True,True,True,0.869235614528847,0.8711686002090494,50.41838474448108,0.89117370050614
gbt,pearson,0.25,0.9,0.9035477609112889,0.4767478034549475,0.42679995745634136,0.0,0.0,True,True,True,0.869235614528847,0.8711686002090494,50.41838474448108,0.89117370050614
gbt,kendall,0.1,0.6,0.9189450495524584,0.8227551741597429,0.09618987539271551,0.0003,0.0003,True,True,True,0.8711666050453718,0.8759466926802376,50.093105677283475,0.6239320497062638
gbt,kendall,0.1,0.7,0.917159550865379,0.8071353571512864,0.11002419371409267,0.0,0.0,True,True,True,0.8711666050453718,0.8759466926802376,50.093105677283475,0.6239320497062638
gbt,kendall,0.1,0.8,0.9074390036187232,0.6841105554969669,0.22332844812175634,0.0,0.0,True,True,True,0.8711666050453718,0.8759466926802376,50.093105677283475,0.6239320497062638
gbt,kendall,0.1,0.9,0.9050096474910332,0.4846845016801789,0.4203251458108543,0.0,0.0,True,True,True,0.8711666050453718,0.8759466926802376,50.093105677283475,0.6239320497062638
gbt,pearson,2.0,0.6,0.9143371152201368,0.8266743525993318,0.08766276262080508,0.0007,0.0007,True,True,True,0.8698366551602837,0.8931421931563027,50.45026905013455,0.8963661880950051
gbt,pearson,2.0,0.7,0.9133053551163118,0.811802871094583,0.10150248402172879,0.0007,0.0007,True,True,True,0.8698366551602837,0.8931421931563027,50.45026905013455,0.8963661880950051
gbt,pearson,2.0,0.8,0.9064204935233042,0.6827228161061822,0.223697677417122,0.0,0.0,True,True,True,0.8698366551602837,0.8931421931563027,50.45026905013455,0.8963661880950051
gbt,pearson,2.0,0.9,0.903608249470554,0.4828612655719483,0.42074698389860565,0.0,0.0,True,True,True,0.8698366551602837,0.8931421931563027,50.45026905013455,0.8963661880950051
gbt,kendall,0.15,0.6,0.921229938217468,0.8227919230699005,0.09843801514756756,0.0003,0.0003999999999999,True,True,True,0.8723066741946762,0.9052926919518978,49.97602406567997,0.6250137182172907
gbt,kendall,0.15,0.7,0.9191924831238624,0.8072605553899177,0.11193192773394467,0.0004,0.0004,True,True,True,0.8723066741946762,0.9052926919518978,49.97602406567997,0.6250137182172907
gbt,kendall,0.15,0.8,0.9088703156580684,0.6838242482105628,0.22504606744750566,0.0,0.0,True,True,True,0.8723066741946762,0.9052926919518978,49.97602406567997,0.6250137182172907
gbt,kendall,0.15,0.9,0.9065218425287854,0.4815765599128586,0.42494528261592684,0.0,0.0,True,True,True,0.8723066741946762,0.9052926919518978,49.97602406567997,0.6250137182172907
gbt,none,0.0,0.6,0.9214576887081882,0.8248057959570378,0.09665189275115038,0.0002,0.0007058823529411,True,True,True,0.8734599809429077,0.9065540750016002,50.18106618108187,0.0
gbt,none,0.0,0.7,0.9193821877134508,0.8099512937533696,0.10943089396008121,0.0,0.0,True,True,True,0.8734599809429077,0.9065540750016002,50.18106618108187,0.0
gbt,none,0.0,0.8,0.9079376908718848,0.6958772176100368,0.21206047326184796,0.0,0.0,True,True,True,0.8734599809429077,0.9065540750016002,50.18106618108187,0.0
gbt,none,0.0,0.9,0.9056074266760532,0.5053748256189422,0.400232601057111,0.0,0.0,True,True,True,0.8734599809429077,0.9065540750016002,50.18106618108187,0.0
