,model,correction,gamma,test_mae,test_r2,test_rmse,test_mape,r2_0 0.6,r2_0 0.7,r2_0 0.8,r2_0 0.9,r2_1 0.6,r2_1 0.7,r2_1 0.8,r2_1 0.9,r2 diff 0.6,r2 diff 0.7,r2 diff 0.8,r2 diff 0.9
355,gbt,pearson,0.0,50.09859463203119,0.8736071466291432,98.32281894811076,0.905402998602186,0.9202062956696648,0.9182132561895284,0.908224176409424,0.9056834080166344,0.8267623526056739,0.8123679952802232,0.6949134928578727,0.5057460942851739,0.093443943063991,0.1058452609093051,0.2133106835515511,0.3999373137314604
456,gbt,distance,0.0,50.02215145329717,0.8741357720440929,98.1136554135472,0.8929685553016024,0.9217628731224964,0.9194395384452124,0.9088827977280208,0.9064302113448426,0.8259269775867049,0.8117946339188068,0.6949084580879454,0.5039022610323308,0.0958358955357915,0.1076449045264055,0.2139743396400755,0.4025279503125117
459,gbt,none,0.0,50.18106618108187,0.8734599809429077,98.37377162481678,0.9065540750016002,0.9214576887081882,0.9193821877134509,0.9079376908718847,0.9056074266760533,0.8248057959570378,0.8099512937533696,0.6958772176100368,0.5053748256189422,0.09665189275115038,0.10943089396008132,0.21206047326184785,0.4002326010571111
305,gbt,pearson,0.5,49.84950368560354,0.8739568888136116,98.04832400393096,0.8886559731924798,0.9202385511234288,0.9184261285922304,0.9095508298223786,0.9070187514991264,0.8273594380903239,0.8124412130535628,0.6905283888114657,0.4952335501321878,0.092879113033105,0.1059849155386677,0.2190224410109128,0.4117852013669386
356,gbt,kendall,0.5,49.52473236291938,0.8358852426958423,99.82439173846151,0.9378751863468936,0.9017037520300416,0.9010494141630948,0.8851850180396865,0.8777722221180141,0.7497068119971221,0.7141200920047752,0.5037442653213786,0.2017417324949563,0.1519969400329194,0.1869293221583194,0.3814407527183079,0.6760304896230578
406,gbt,distance,0.5,49.9151588586635,0.8728057422650843,98.53368421096124,0.8724943680018354,0.9195861476726768,0.9177434535136022,0.9081801012105504,0.905783979092038,0.8258703139351099,0.8109509096713806,0.6898958474750949,0.4949472405263933,0.0937158337375667,0.1067925438422215,0.2182842537354555,0.4108367385656448
306,gbt,pearson,0.5468531579867486,50.00744610304634,0.8732746476125516,98.37907972434492,0.8918413548019831,0.9198880810327732,0.9180225410225012,0.90842132761585,0.9061852319788438,0.8263493289654357,0.8113612395380424,0.6919190569459297,0.4970904466447826,0.0935387520673375,0.1066613014844588,0.2165022706699202,0.4090947853340612
357,gbt,kendall,0.5468531579867486,49.1797828377717,0.8351003609504488,99.93208013892172,0.8889747943715114,0.9011025176525296,0.900570950533691,0.8840966536831246,0.8772334748370791,0.7493520127670994,0.7134507024815164,0.5081501416400467,0.2006673576538176,0.1517505048854301,0.1871202480521745,0.3759465120430779,0.6765661171832615
407,gbt,distance,0.5468531579867486,49.96434011166957,0.8721707398704172,98.83126465675136,0.8675035459138734,0.9196692647492056,0.9178202844624196,0.9084256232873124,0.9059917385595256,0.8239265222784022,0.8084998155879505,0.6850605530501589,0.4874001605315329,0.0957427424708035,0.1093204688744692,0.2233650702371534,0.4185915780279928
307,gbt,pearson,0.5928906548695134,50.094685671096045,0.8734988973217154,98.34003347238205,0.903562212834174,0.9202640980715092,0.9184062025438324,0.9097119011620152,0.9070341081172326,0.8258627693922578,0.8106769759135123,0.6867009517993213,0.4904059769117226,0.0944013286792515,0.1077292266303202,0.2230109493626938,0.41662813120551
358,gbt,kendall,0.5928906548695134,49.31622298543962,0.8356642970058032,99.59948772172588,0.8631437333608044,0.8999003565881436,0.8995969697812982,0.884045258473925,0.8774302447112003,0.753106008858236,0.7178399685869485,0.5146492983184043,0.2063169490947304,0.1467943477299076,0.1817570011943496,0.3693959601555207,0.6711132956164699
