Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9143271692725778,0.8253031057347819,0.0015,0.0015,0.0890240635377959,True,True,False
Demographic_0.7,0.913290014118028,0.8103023629367534,0.0007,0.0009333333333333333,0.10298765118127462,True,True,True
Demographic_0.8,0.9062983000489878,0.6792773323211152,0.0,0.0,0.2270209677278726,True,True,True
Demographic_0.9,0.9035477609112887,0.4767478034549475,0.0,0.0,0.42679995745634125,True,True,True
