Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8901403556210465,0.804948010626631,0.002,0.002,0.08519234499441553,True,True,False
Demographic_0.7,0.8898957126527111,0.7887857369352428,0.0004,0.0005333333333333334,0.10110997571746827,True,True,True
Demographic_0.8,0.8786385078907869,0.6923770523929123,0.0,0.0,0.18626145549787465,True,True,True
Demographic_0.9,0.8776335821979155,0.5083265445456637,0.0,0.0,0.3693070376522518,True,True,True
