Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8996409043229038,0.8174047358937057,0.0012,0.0012,0.08223616842919812,True,True,False
Demographic_0.7,0.898506070183969,0.8041950883461382,0.0005,0.0006666666666666666,0.09431098183783082,True,True,True
Demographic_0.8,0.8904882222559347,0.6937232040010369,0.0,0.0,0.19676501825489778,True,True,True
Demographic_0.9,0.8884864460795754,0.510866317029148,0.0,0.0,0.3776201290504274,True,True,True
