Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8905442642466872,0.8056897410453318,0.0013,0.0013,0.08485452320135545,True,True,False
Demographic_0.7,0.890322381018946,0.789628556284805,0.0003,0.00039999999999999996,0.10069382473414101,True,True,True
Demographic_0.8,0.8787629764199777,0.6950359622714686,0.0,0.0,0.18372701414850912,True,True,True
Demographic_0.9,0.8775432231292284,0.5152243694104902,0.0,0.0,0.3623188537187382,True,True,True
