Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.8718539859778178,0.7546419537021171,0.001,0.001,0.11721203227570076,True,True,False
Demographic_0.7,0.8701406005539551,0.7347821752004045,0.0003,0.00039999999999999996,0.1353584253535507,True,True,True
Demographic_0.8,0.8658254661362363,0.5763150210984934,0.0,0.0,0.2895104450377429,True,True,True
Demographic_0.9,0.8644394244400347,0.3575771652095475,0.0,0.0,0.5068622592304872,True,True,True
