Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.9083574814264287,0.8210969680037924,0.0022,0.0022,0.0872605134226363,True,True,False
Demographic_0.7,0.9070404043843254,0.8069208278439045,0.0004,0.0005333333333333334,0.10011957654042092,True,True,True
Demographic_0.8,0.8998275609675218,0.6858771514957982,0.0,0.0,0.2139504094717236,True,True,True
Demographic_0.9,0.8980141948615615,0.4856552376089917,0.0,0.0,0.4123589572525698,True,True,True
