Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
AGE17_0.6,0.8562496224629245,0.7636116511966977,0.0092,0.017806451612903222,0.09263797126622675,True,False,False
AGE17_0.7,0.8052654362939673,0.9514506691393911,0.003,0.0072,0.14618523284542384,True,True,False
AGE17_0.8,0.8296817195272077,0.8345414304222839,0.9249,0.9405762711864408,0.004859710895076197,False,False,False
AGE17_0.9,0.8315502714586577,0.8551296756807045,0.7248,0.8875102040816326,0.02357940422204685,False,False,False
AGE65_0.6,0.8697168188977679,0.7542669532285505,0.0011,0.0034736842105263163,0.11544986566921733,True,True,False
AGE65_0.7,0.8705568030078871,0.7469490329074167,0.0014,0.004,0.12360777010047042,True,True,False
AGE65_0.8,0.8710296313324701,0.7287697255038267,0.002,0.005217391304347826,0.14225990582864345,True,True,False
AGE65_0.9,0.8157050761453237,0.9192595992517723,0.0844,0.1406666666666667,0.10355452310644853,False,False,False
CROWD_0.6,0.8316195157453111,0.880348363626589,0.3068,0.44897560975609757,0.04872884788127785,False,False,False
CROWD_0.7,0.8329355360816523,0.8087859735732593,0.724,0.8875102040816326,0.024149562508392952,False,False,False
CROWD_0.8,0.8333638238372547,0.8227605737059113,0.8958,0.9405762711864408,0.010603250131343445,False,False,False
CROWD_0.9,0.8332182289313568,0.6866491682142021,0.1283,0.19738461538461538,0.1465690607171547,False,False,False
DISABL_0.6,0.8796682375979745,0.7602567565333228,0.0014,0.004,0.11941148106465171,True,True,False
DISABL_0.7,0.8842399962557016,0.6112482437306913,0.0,0.0,0.2729917525250103,True,True,True
DISABL_0.8,0.8796969246758604,0.21113990785382353,0.0,0.0,0.6685570168220368,True,True,True
DISABL_0.9,0.8767959950967672,0.0030426299779357825,0.0,0.0,0.8737533651188314,True,True,True
GROUPQ_0.6,0.7995320051297837,0.8592931151828246,0.0753,0.13288235294117648,0.059761110053040856,False,False,False
GROUPQ_0.7,0.8072023920683462,0.9081345234087591,0.0052,0.011555555555555555,0.1009321313404129,True,False,False
GROUPQ_0.8,0.8102960773943958,0.9405629026333944,0.0023,0.00575,0.13026682523899857,True,True,False
GROUPQ_0.9,0.8120138828516785,0.9402649021887262,0.006,0.012413793103448275,0.12825101933704763,True,False,False
LIMENG_0.6,0.7117873454441178,0.9216670253080093,0.0,0.0,0.20987967986389144,True,True,True
LIMENG_0.7,0.7189323835666293,0.923471685248695,0.0,0.0,0.2045393016820658,True,True,True
LIMENG_0.8,0.7878788647497862,0.913400425424205,0.0047,0.010846153846153846,0.12552156067441878,True,False,False
LIMENG_0.9,0.8266611980719133,0.8892047524650929,0.3147,0.44957142857142857,0.0625435543931796,False,False,False
MINRTY_0.6,0.8937096770460304,0.7716270319576432,0.0006,0.002,0.12208264508838729,True,True,False
MINRTY_0.7,0.8903518041083034,0.7552899552129545,0.0002,0.0007058823529411765,0.1350618488953489,True,True,True
MINRTY_0.8,0.8823670609869153,0.5913157231682399,0.0,0.0,0.2910513378186754,True,True,True
MINRTY_0.9,0.8797116853806424,0.3615342248599925,0.0,0.0,0.51817746052065,True,True,True
MOBILE_0.6,0.8318888105152308,0.7510178563423429,0.0582,0.10581818181818181,0.08087095417288792,False,False,False
MOBILE_0.7,0.8340817834787311,0.7482192704457731,0.1047,0.16531578947368422,0.085862513032958,False,False,False
MOBILE_0.8,0.8352096125056039,0.7295860756083898,0.1001,0.1623243243243243,0.10562353689721404,False,False,False
MOBILE_0.9,0.8370001195325505,0.53833449882606,0.025,0.046875,0.2986656207064905,True,False,False
MUNIT_0.6,0.6916477211725484,0.8773480099943523,0.0,0.0,0.1857002888218039,True,True,True
MUNIT_0.7,0.7991730589129322,0.8559416613233093,0.0804,0.1378285714285714,0.05676860241037707,False,False,False
MUNIT_0.8,0.8118249135321055,0.8564625323803698,0.1839,0.27585000000000004,0.04463761884826434,False,False,False
MUNIT_0.9,0.7997680705103346,0.9184857024326605,0.0087,0.0174,0.11871763192232587,True,False,False
NOHSDP_0.6,0.831249319876885,0.8464564534451349,0.7119,0.8875102040816326,0.015207133568249875,False,False,False
NOHSDP_0.7,0.8322552498188547,0.8404598152597519,0.8418,0.9405762711864408,0.008204565440897205,False,False,False
NOHSDP_0.8,0.8339955586675205,0.8283911425259033,0.9228,0.9405762711864408,0.005604416141617219,False,False,False
NOHSDP_0.9,0.8341196348297018,0.8217314594352908,0.8569,0.9405762711864408,0.01238817539441095,False,False,False
NOVEH_0.6,0.8754931300843977,0.78296113977325,0.0056,0.012,0.09253199031114767,True,False,False
NOVEH_0.7,0.8717299637516559,0.7598268473340533,0.0017,0.004636363636363636,0.11190311641760264,True,True,False
NOVEH_0.8,0.8828812006277498,0.6542237605274004,0.0,0.0,0.22865744010034939,True,True,True
NOVEH_0.9,0.8296315932579573,0.8472781827168225,0.6613,0.8625652173913043,0.017646589458865214,False,False,False
PCI_0.6,0.8823226332373998,0.5608672865209404,0.0,0.0,0.32145534671645937,True,True,True
PCI_0.7,0.8825221481955373,0.5540036250206404,0.0,0.0,0.32851852317489694,True,True,True
PCI_0.8,0.8340215332582998,0.8267142916306406,0.8787,0.9405762711864408,0.007307241627659167,False,False,False
PCI_0.9,0.8343882421049504,0.7564676557550892,0.324,0.45209302325581396,0.07792058634986121,False,False,False
POV_0.6,0.9030637470339028,0.6758733582478914,0.0,0.0,0.2271903887860114,True,True,True
POV_0.7,0.8798425649295993,0.6726042408836956,0.0,0.0,0.2072383240459037,True,True,True
POV_0.8,0.8319037698381541,0.8432214280716034,0.7859,0.9245882352941177,0.011317658233449324,False,False,False
POV_0.9,0.8324499989694383,0.8115425788753253,0.7532,0.90384,0.02090742009411295,False,False,False
SNGPNT_0.6,0.9005743293604228,0.6310644167193455,0.0,0.0,0.26950991264107726,True,True,True
SNGPNT_0.7,0.8781887586419982,0.6451728758656958,0.0,0.0,0.23301588277630236,True,True,True
SNGPNT_0.8,0.8819738758983071,0.5194967659339256,0.0,0.0,0.36247710996438154,True,True,True
SNGPNT_0.9,0.8337348777934267,0.8196132570599962,0.8198,0.9405762711864408,0.014121620733430484,False,False,False
UNEMP_0.6,0.8493213467824361,0.8227434827438138,0.4593,0.6263181818181819,0.02657786403862228,False,False,False
UNEMP_0.7,0.8295696154628439,0.8523879581269304,0.6027,0.8036,0.022818342664086444,False,False,False
UNEMP_0.8,0.8331320680925188,0.8352600119778896,0.965,0.965,0.002127943885370742,False,False,False
UNEMP_0.9,0.8338242115570195,0.8269338929217869,0.9059,0.9405762711864408,0.006890318635232595,False,False,False
