Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
Demographic_0.6,0.921229938217468,0.8227919230699005,0.0003,0.00039999999999999996,0.09843801514756756,True,True,True
Demographic_0.7,0.9191924831238624,0.8072605553899177,0.0004,0.0004,0.11193192773394467,True,True,True
Demographic_0.8,0.9088703156580684,0.6838242482105628,0.0,0.0,0.22504606744750566,True,True,True
Demographic_0.9,0.9065218425287854,0.4815765599128586,0.0,0.0,0.42494528261592684,True,True,True
